"Időbélyeg","Kijelentem, hogy elmúltam 18 éves, a fenti tájékoztatót elolvastam, és hozzájárulok, hogy válaszaimat kutatáshoz felhasználják.","Milyen nemű vagy?","Hány éves vagy?","Jelenleg olyan munkakörben dolgozol, amely pszichológiai támogatást, mentálhigiénés ellátást vagy tanácsadást foglal magában? (pl. terapeuta, pszichológus, coach, segítő vagy) - Opcionális","Mi jellemző rád az alábbiak közül?","Milyen gyakran használsz mesterséges intelligenciát? (ChatGPT, ...)","Milyen mesterséges intelligencia eszközöket használsz? (Jelölhetsz többet is)","Használtál-e már valaha AI-t pszichológiai témában, személyes dolgaid megbeszélésére, a saját működésed / szociális helyzetek megértésére, vagy akár ""terapeutaként""?","Milyen problémával fordultál az AI-hoz? (Jelöld mindet, ami szóba jöhet)","Mi az, ami általában arra vezet, hogy AI-t használj ilyen esetekben? (Válassz max hármat)","Amikor AI-t használsz, hogyan használod a leggyakrabban? (Jelöld mindet, ami megfelelő lehet)","Melyik írja le legjobban az AI használatával kapcsolatos élményed?","Mi alapján bízol egy AI által kapott válaszban? (Jelöld az összes megfelelőt)","Mikor nem bízol egy mesterséges intelligencia által adott válaszban, vagy hagyod figyelmen kívül azt? (Jelöld az összes szóba jöhetőt) ","Állítottál már fel személyes szabályokat vagy korlátokat a mesterséges intelligencia használatoddal kapcsolatban?","Mielőtt mesterséges intelligenciát önreflexióra használtál volna, mennyire érezted, hogy jól ismered magad, tudatos vagy?","Hogyan változott saját magad megértése az AI használatával? ","Kaptál már olyan visszajelzést AI-tól magaddal kapcsolatban, ami miatt megkérdőjelezted, újraértékelted azt, ahogy látod magad?","Amennyiben igen, hogy reagáltál erre? (Jelöld mindet, ami szóba jöhet) ","Általánosságban kijelentenéd-e, hogy az AI főleg: ","A tapasztalataid szerint az AI által kapott pszichológiai tanács ilyen:","Mi aggaszt leginkább a mesterséges intelligencia használatával kapcsolatban ebben a témában? (Opcionális, jelölj bármennyit)","Opcionális: van valami a mesterséges intelligenciával és az önreflexióval kapcsolatos tapasztalataidban, ami fontosnak tűnik, de nem került szóba? (Röviden / hosszan is kifejthető)","Opcionális: ha nyitott lennél folytatólagos részvételre a későbbiekben, itt megadhatod az email címed is."
"2026/01/26 2:51:35 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","Nem","Van diagnózisom valamilyen más pszichés kondícióról","Napi szinten","ChatGPT;Perplexity","Igen","A gondolataim, érzéseim jobb megértésében;Döntések meghozásában;Teendők, hétköznapi élet megszervezésére;Önmagam, mintázataim megértésére;Nehéz beszélgetésekre felkészülni;Pszichológiai témákról tanulni;strubakinga@yahoo.com","Szeretném jobban, strukturáltabban átlátni a kérdést;Nincs időm / lehetőségem szakember segítségére;strubakinga@yahoo.com","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként;Mint egy útmutató, következő lépések kitalálására;Érzelmi megerősítésre;strubakinga@yahoo.com","Gyakran követem az AI tanácsait, ha meggyőzőnek érzem őket.","Ha új perspektívát mutat;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha több lehetőséget mutat be","Ha ellentmond a saját megélt élményemmel;Ha az intuícióm azt mondja, hogy valami nem stimmel benne;Csak ritkán van, hogy nem bízom benne","Valamennyire / nem kőbe vésve","5. Nagyon tudatos vagyok a belső működéseimmel","Már sokkal jobban értem magam","Igen","Integráltam az AI-tól kapottakat, legalább részben","Megerősítette az önmagadról alkotott képed, narratíváid","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Nincsenek különösebb aggodalmaim;strubakinga@yahoo.com","","strubakinga@yahoo.com"
"2026/01/26 7:10:00 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","25 - 34","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Hetente többször","ChatGPT","Igen","A gondolataim, érzéseim jobb megértésében;Döntések meghozásában;Önmagam, mintázataim megértésére;Pszichológiai témákról tanulni","Kifogytam az ötletekből, megrekedtem;Nincs időm / lehetőségem szakember segítségére;Gyorsabb megoldás: kevés az időm","Ötletelésre, brainstorming partnerként;Problémamegoldóként;Érzelmi megerősítésre","Gyakran követem az AI tanácsait, ha meggyőzőnek érzem őket.","Ha egyezik a saját gondolkodásmódommal;Ha új perspektívát mutat","Ha túl általánosnak hangzik","Valamennyire / nem kőbe vésve","5. Nagyon tudatos vagyok a belső működéseimmel","Körülbelül ugyanaz maradt","Nem","Integráltam az AI-tól kapottakat, legalább részben","Megerősítette az önmagadról alkotott képed, narratíváid","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Nincsenek különösebb aggodalmaim","",""
"2026/01/26 9:50:50 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","Nem","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Hetente többször","ChatGPT;Gemini","Nem","","","","","","","","","","","","","","","",""
"2026/01/27 7:02:39 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","Nem","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Ritkán","ChatGPT","Nem","","","","","","","","","","","","","","","",""
"2026/01/27 7:23:25 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","45 - 54","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Próbáltam már, de szinte soha","","Nem","","","","","","","","","","","","","","","",""
"2026/01/27 10:39:57 de. CET","Igen, szeretnék részt venni a kutatásban","Nő","35 - 44","Nem","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Napi szinten","ChatGPT;Claude;Copilot","Igen","A gondolataim, érzéseim jobb megértésében;Teendők, hétköznapi élet megszervezésére;Nehéz beszélgetésekre felkészülni","Szeretném jobban, strukturáltabban átlátni a kérdést;Általában az érzelmeimre, intuíciómra hallgatok, de szeretném AI-val érteni is;Nincs időm / lehetőségem szakember segítségére","Feedbackre, véleményre a gondolataimról;Mint egy útmutató, következő lépések kitalálására;Érzelmi megerősítésre","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha új perspektívát mutat;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha több lehetőséget mutat be","Ha ellentmond a saját megélt élményemmel;Ha túlzottan leegyszerűsíti a dolgokat","Még sohasem gondoltam ilyesmire","4. Meglehetősen jól ismerem magam","Nem volt rá hatással / nem tudok erre válaszolni","Nem vagyok biztos benne / nem tudom","Elgondolkodtam rajta","Nem vagyok biztos ebben / nem tudom","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Érzelmi függőség kialakulása;Az emberi kapcsolat hiánya, elvesztése","Szerintem az, hogy az AI milyen minosegben valaszol, ad tanacsot nagyban fugg a kerdezo tudatossagi szintjetol es attol milyen promptot fogalmaz meg a problemajaval kapcsolatban",""
"2026/01/27 1:45:23 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","25 - 34","Nem","Van diagnózisom valamilyen más pszichés kondícióról","Ritkán","Gemini","Nem","","","","","","","","","","","","","","","",""
"2026/01/27 1:45:44 du. CET","Igen, szeretnék részt venni a kutatásban","Férfi","45 - 54","Nem","Nem vagyok neurodivergens / nem tudok ilyesmiről","Hetente többször","Valamilyen anonim AI","Nem","","","","","","","","","","","","","","","",""
"2026/01/27 1:47:48 du. CET","Igen, szeretnék részt venni a kutatásban","Nem akarom megadni","35 - 44","Nem","Diagnosztizált neurodivergens vagyok","Néha","ChatGPT","Igen","terapeutát keresni","Kifogytam az ötletekből, megrekedtem","Problémamegoldóként","Erősen függ a helyzettől","Általában nem bízom annyira a mesterséges intelligenciában","Ha ellentmond a saját megélt élményemmel","Nem","2. Valamennyire tudatos vagyok az érzéseimmel","Körülbelül ugyanaz maradt","Nem","","Egyik sem igaz","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","A túlzott ráhagyatkozás;Félrevezető, fals információk","",""
"2026/01/27 1:51:29 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","18 - 24","Nem","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Hetente többször","ChatGPT;Gemini","Igen","Önmagam, mintázataim megértésére;Nehéz beszélgetésekre felkészülni;Pszichológiai témákról tanulni","Kíváncsiság;Szeretném jobban, strukturáltabban átlátni a kérdést;Sokkal egyszerűbb arra kérni hogy szakirodalom alapján válaszoljon, mint végigtúrni könyveket stb","Ötletelésre, brainstorming partnerként;Problémamegoldóként","Erősen függ a helyzettől","","Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Még sohasem gondoltam ilyesmire","5. Nagyon tudatos vagyok a belső működéseimmel","Valamennyire tisztult","Igen","Elgondolkodtam rajta;Szituációtól függött","Egyik sem igaz","nem gondoltam ilyenekre / nem tudom","Nincsenek különösebb aggodalmaim","Leginkább arra használtam ilyen szempontból, hogy bizonyos működési mintázataimnak a nevét is megtudjam, illetve hogy milyen szakirodalmakból tudnék jobban tájékozódni azon felül amiket ő használt. ","tamara.olah@gmail.com"
"2026/01/27 1:55:37 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","45 - 54","Nem","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Néha","ChatGPT;Gemini","Nem","","","","","","","","","","","","","","","",""
"2026/01/27 1:58:50 du. CET","Igen, szeretnék részt venni a kutatásban","Férfi","25 - 34","Nem","Diagnosztizált neurodivergens vagyok","Néha","ChatGPT;Gemini;Claude;Copilot","Nem","","","","","","","","","","","","","","","",""
"2026/01/27 2:00:19 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","45 - 54","Nem","Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Napi szinten","ChatGPT","Igen","Teendők, hétköznapi élet megszervezésére;Pszichológiai témákról tanulni","Kifogytam az ötletekből, megrekedtem;Szeretném jobban, strukturáltabban átlátni a kérdést;Általában az érzelmeimre, intuíciómra hallgatok, de szeretném AI-val érteni is","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként","Főként a saját gondolkodásom tisztázására használom az AI-t","Ha egyezik a saját gondolkodásmódommal","Ha ellentmond a saját megélt élményemmel;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Valamennyire / nem kőbe vésve","4. Meglehetősen jól ismerem magam","Valamennyire tisztult","Igen","Elgondolkodtam rajta","Mindkettő megtörtént","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","A túlzott ráhagyatkozás;Félrevezető, fals információk;Az emberi kapcsolat hiánya, elvesztése","",""
"2026/01/27 2:04:42 du. CET","Igen, szeretnék részt venni a kutatásban","Nem akarom megadni","25 - 34","Nem","Diagnosztizált neurodivergens vagyok","Próbáltam már, de szinte soha","ChatGPT;Perplexity","Igen","A gondolataim, érzéseim jobb megértésében","Szeretném jobban, strukturáltabban átlátni a kérdést;Egyszer használtam, arra, hogy egy többféle érzelemmel terhelt, hirtelen történt eseményt érthető listává alakítson.","Semleges másodvéleményként","Főként a saját gondolkodásom tisztázására használom az AI-t","Általában nem bízom annyira a mesterséges intelligenciában","Ha túl általánosnak hangzik;Ha túl (maga)biztosnak hangzik;Ha ellentmond a saját megélt élményemmel;Ha túlzottan leegyszerűsíti a dolgokat;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Igen, határozottan","5. Nagyon tudatos vagyok a belső működéseimmel","Nem volt rá hatással / nem tudok erre válaszolni","Nem","","Mindkettő megtörtént","gyengébb, mint a terápia","A túlzott ráhagyatkozás;Félrevezető, fals információk;Érzelmi függőség kialakulása;Az emberi kapcsolat hiánya, elvesztése;A privátszféra;Az uniformizáció, mindenkinek hasonló gondolatokat és megfogalmazásokat ültet el a fejében; a túlzottan megerősítő “enabling” hozzáállás ami jellemző rá; illetve a környezetvédelmi szempontok. ","Gyakran tölt el szorongással, neurodivergens emberként, hogy az informaciók hitelességére valamint az emberi kapcsolatokra milyen hatással lesz. Nem örülnék, ha álhíreken/hallucinált infókon kéne barátokkal összevesznem, vagy ha esetleg a szoftverrel való beszélgetést választanák egy együtt töltött beszélgetős este helyett. ",""
"2026/01/27 2:08:56 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","55 - 64","Igen","Diagnosztizált neurodivergens vagyok","Hetente többször","ChatGPT","Igen","Döntések meghozásában;Teendők, hétköznapi élet megszervezésére;Nehéz beszélgetésekre felkészülni","Kifogytam az ötletekből, megrekedtem;Szeretném jobban, strukturáltabban átlátni a kérdést","Feedbackre, véleményre a gondolataimról;Ötletelésre, brainstorming partnerként","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Általában nem bízom annyira a mesterséges intelligenciában","Ha túl (maga)biztosnak hangzik;Ha ellentmond a saját megélt élményemmel;Ha az intuícióm azt mondja, hogy valami nem stimmel benne","Valamennyire / nem kőbe vésve","4. Meglehetősen jól ismerem magam","Valamennyire tisztult","Igen","Elgondolkodtam rajta;Kényelmetlenül éreztem magam, de kíváncsivá tett;Integráltam az AI-tól kapottakat, legalább részben","Mindkettő megtörtént","egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Félrevezető, fals információk;Az emberi kapcsolat hiánya, elvesztése;A privátszféra","Ha hivatkozást, linket kérek tőle, akkor gyárt egyet, ami fake. Vagy teljesen más kulturális, társadalmi, tudományos háttérből hoz infót, anélkül, hogy ez egyértelmű lenne. Folyamatosan megerősít, a leggyagyább felvetést is, hacsak nem kérem konkrétan, hogy kritikusan érveljen. Soha nincs vége a beszélgetésnek, mindig needy, függőségben akar tartani. Alapvetően a kezdeti lelkesedés után kiábrándítóak az élmények. A válaszok lebutítottabbak, talán a fizetős változat jobb, de a mostani tapasztalatok alapján nem fizetnék elő rá. Nem tiszteli a határaimat, nem tudom, hova megy a személyes adat, ami belekerül. Az egész big tech-hez való kötődés, maszatos háttér arra sarkall, hogy kevesebbet használjam. ",""
"2026/01/27 2:12:41 du. CET","Igen, szeretnék részt venni a kutatásban","Nő","45 - 54","Nem","Diagnosztizált neurodivergens vagyok","Napi szinten","ChatGPT;Gemini","Igen","Nehéz beszélgetésekre felkészülni","Kíváncsiság;Szeretném jobban, strukturáltabban átlátni a kérdést","Ötletelésre, brainstorming partnerként;Problémamegoldóként","A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Ha új perspektívát mutat;Ha strukturáltnak vagy egyértelműnek, tisztának tűnik;Ha több lehetőséget mutat be","Ha túl általánosnak hangzik;Ha túl (maga)biztosnak hangzik;Ha túlzottan leegyszerűsíti a dolgokat","Nem","4. Meglehetősen jól ismerem magam","Körülbelül ugyanaz maradt","Igen","Elgondolkodtam rajta","Nem vagyok biztos ebben / nem tudom","gyengébb, mint a terápia","Félrevezető, fals információk;A privátszféra","Nehezen lehet kihúzni belőle objektív vagy negatívnak ható dolgokat es rengeteget hallucinal, kamuzik, férfit es nagyon biztosan teszi",""
