respondent_id,gender,age,is_professional,nd_status,ai_frequency,used_ai_psych,ai_experience,set_rules,prior_self_awareness,self_understanding_change,received_challenging_feedback,ai_vs_therapy,ai_general_effect,tool_chatgpt,tool_claude,tool_gemini,tool_copilot,tool_perplexity,tool_grok,tool_deepseek,prob_emotions,prob_decisions,prob_daily,prob_selfpatterns,prob_hardconvos,prob_hardletters,prob_learning_psych,driver_curiosity,driver_stuck,driver_structure,driver_noaccess,driver_speed,driver_intuition_plus_ai,use_feedback,use_brainstorm,use_secondopinion,use_problemsolve,use_guide,use_validation,trust_structured,trust_agrees_with_me,trust_newperspective,trust_multiple_options,trust_confident_tone,trust_generally_low,distrust_toogeneral,distrust_tooconfident,distrust_contradicts_me,distrust_oversimplifies,distrust_gut,distrust_rarely,react_reflected,react_integrated,react_uncomfortable_curious,react_ignored,react_situational,concern_overreliance,concern_misinformation,concern_emotional_dependency,concern_human_connection,concern_privacy,concern_cognitive_loss,concern_data_storage,concern_none
19,Nem akarom megadni,35 - 44,Nem,Diagnosztizált neurodivergens vagyok,Néha,Igen,Erősen függ a helyzettől,Nem,2. Valamennyire tudatos vagyok az érzéseimmel,Körülbelül ugyanaz maradt,Nem,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak",Egyik sem igaz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
20,Nő,18 - 24,Nem,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom",Hetente többször,Igen,Erősen függ a helyzettől,Még sohasem gondoltam ilyesmire,5. Nagyon tudatos vagyok a belső működéseimmel,Valamennyire tisztult,Igen,nem gondoltam ilyenekre / nem tudom,Egyik sem igaz,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
21,Nő,45 - 54,Nem,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom",Néha,Nem,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Férfi,25 - 34,Nem,Diagnosztizált neurodivergens vagyok,Néha,Nem,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Nő,45 - 54,Nem,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom",Napi szinten,Igen,Főként a saját gondolkodásom tisztázására használom az AI-t,Valamennyire / nem kőbe vésve,4. Meglehetősen jól ismerem magam,Valamennyire tisztult,Igen,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak",Mindkettő megtörtént,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
24,Nem akarom megadni,25 - 34,Nem,Diagnosztizált neurodivergens vagyok,"Próbáltam már, de szinte soha",Igen,Főként a saját gondolkodásom tisztázására használom az AI-t,"Igen, határozottan",5. Nagyon tudatos vagyok a belső működéseimmel,Nem volt rá hatással / nem tudok erre válaszolni,Nem,"gyengébb, mint a terápia",Mindkettő megtörtént,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0
25,Nő,55 - 64,Igen,Diagnosztizált neurodivergens vagyok,Hetente többször,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Valamennyire / nem kőbe vésve,4. Meglehetősen jól ismerem magam,Valamennyire tisztult,Igen,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak",Mindkettő megtörtént,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0
26,Nő,45 - 54,Nem,Diagnosztizált neurodivergens vagyok,Napi szinten,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Nem,4. Meglehetősen jól ismerem magam,Körülbelül ugyanaz maradt,Igen,"gyengébb, mint a terápia",Nem vagyok biztos ebben / nem tudom,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
27,Nő,25 - 34,Nem,Diagnosztizált neurodivergens vagyok,Hetente többször,Igen,Főként a saját gondolkodásom tisztázására használom az AI-t,Valamennyire / nem kőbe vésve,2. Valamennyire tudatos vagyok az érzéseimmel,Valamennyire tisztult,Igen,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak",Mindkettő megtörtént,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0
28,,35 - 44,Nem,Diagnosztizált neurodivergens vagyok,Hetente többször,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Igen, határozottan",3. Átlagos szinten értem a saját működésem,Körülbelül ugyanaz maradt,Nem vagyok biztos benne / nem tudom,"gyengébb, mint a terápia","Megerősítette az önmagadról alkotott képed, narratíváid",1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0
29,,35 - 44,Igen,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom",Hetente többször,Igen,Főként a saját gondolkodásom tisztázására használom az AI-t,Még sohasem gondoltam ilyesmire,3. Átlagos szinten értem a saját működésem,Körülbelül ugyanaz maradt,Nem,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak",Egyik sem igaz,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
30,Nő,25 - 34,Nem,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom",Napi szinten,Igen,"Gyakran követem az AI tanácsait, ha meggyőzőnek érzem őket.","Igen, határozottan","1. Nem igazán ismerem az érzéseim, vagyok tudatos velük",Már sokkal jobban értem magam,Igen,"egészen hasonló vagy jobb, mint a terápia",Mindkettő megtörtént,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
31,Nő,35 - 44,,Diagnosztizált neurodivergens vagyok,Hetente többször,Igen,Főként a saját gondolkodásom tisztázására használom az AI-t,Valamennyire / nem kőbe vésve,4. Meglehetősen jól ismerem magam,Valamennyire tisztult,Nem,"egészen hasonló vagy jobb, mint a terápia",Nem vagyok biztos ebben / nem tudom,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Férfi,18 - 24,Nem,Diagnosztizált neurodivergens vagyok,Hetente többször,Nem,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Nő,35 - 44,Nem,Diagnosztizált neurodivergens vagyok,Napi szinten,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Igen, határozottan",5. Nagyon tudatos vagyok a belső működéseimmel,Valamennyire tisztult,Igen,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Megerősítette az önmagadról alkotott képed, narratíváid",1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
34,Nő,18 - 24,Nem,Diagnosztizált neurodivergens vagyok,Hetente többször,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Valamennyire / nem kőbe vésve,5. Nagyon tudatos vagyok a belső működéseimmel,Valamennyire tisztult,Igen,"gyengébb, mint a terápia",Mindkettő megtörtént,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0
35,Nő,25 - 34,Nem,Van diagnózisom valamilyen más pszichés kondícióról,Néha,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Igen, határozottan",5. Nagyon tudatos vagyok a belső működéseimmel,Körülbelül ugyanaz maradt,Nem,"gyengébb, mint a terápia",Nem vagyok biztos ebben / nem tudom,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
36,Nő,18 - 24,Nem,Van diagnózisom valamilyen más pszichés kondícióról,Néha,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Igen, határozottan",5. Nagyon tudatos vagyok a belső működéseimmel,Valamennyire tisztult,Nem vagyok biztos benne / nem tudom,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak",Nem vagyok biztos ebben / nem tudom,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
37,Férfi,25 - 34,Nem,Diagnosztizált neurodivergens vagyok,Napi szinten,Igen,"Gyakran követem az AI tanácsait, ha meggyőzőnek érzem őket.",Még sohasem gondoltam ilyesmire,"1. Nem igazán ismerem az érzéseim, vagyok tudatos velük",Már sokkal jobban értem magam,Igen,"egészen hasonló vagy jobb, mint a terápia","Megerősítette az önmagadról alkotott képed, narratíváid",1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,Nő,35 - 44,Nem,Diagnosztizált neurodivergens vagyok,Hetente többször,Nem,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Nem akarom megadni,55 - 64,Nem,Diagnosztizált neurodivergens vagyok,Napi szinten,Igen,Erősen függ a helyzettől,Valamennyire / nem kőbe vésve,4. Meglehetősen jól ismerem magam,Valamennyire tisztult,Igen,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak",Nem vagyok biztos ebben / nem tudom,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
40,Nő,25 - 34,Nem,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom",Néha,Nem,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Férfi,35 - 44,Nem,Diagnosztizált neurodivergens vagyok,Napi szinten,Nem,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Nő,45 - 54,Nem,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Próbáltam már, de szinte soha",Nem,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Nő,25 - 34,Tartózkodnék a választól,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom","Próbáltam már, de szinte soha",Nem,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Nő,35 - 44,Nem,Nem érint a téma / nem szeretném megosztani,Hetente többször,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Igen, határozottan",5. Nagyon tudatos vagyok a belső működéseimmel,Körülbelül ugyanaz maradt,Nem,"egészen hasonló vagy jobb, mint a terápia",Egyik sem igaz,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,Férfi,25 - 34,Nem,Diagnosztizált neurodivergens vagyok,Hetente többször,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Valamennyire / nem kőbe vésve,4. Meglehetősen jól ismerem magam,Körülbelül ugyanaz maradt,Nem vagyok biztos benne / nem tudom,"gyengébb, mint a terápia",Mindkettő megtörtént,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
46,Nő,25 - 34,Igen,Nem vagyok neurodivergens / nem tudok ilyesmiről,Napi szinten,Igen,Erősen függ a helyzettől,Valamennyire / nem kőbe vésve,4. Meglehetősen jól ismerem magam,Már sokkal jobban értem magam,Igen,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak","Megerősítette az önmagadról alkotott képed, narratíváid",1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0
47,Férfi,45 - 54,Nem,Diagnosztizált neurodivergens vagyok,Hetente többször,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Nem,4. Meglehetősen jól ismerem magam,Valamennyire tisztult,Igen,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak",Mindkettő megtörtént,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0
48,Nő,25 - 34,Nem,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom",Hetente többször,Igen,"Nem tudom, egyik sem igazán",Valamennyire / nem kőbe vésve,4. Meglehetősen jól ismerem magam,Körülbelül ugyanaz maradt,Nem,"gyengébb, mint a terápia","Megerősítette az önmagadról alkotott képed, narratíváid",1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
49,Férfi,45 - 54,Igen,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom",Napi szinten,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak","Igen, határozottan",4. Meglehetősen jól ismerem magam,Körülbelül ugyanaz maradt,Nem,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak",Mindkettő megtörtént,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
50,Nő,45 - 54,Nem,Diagnosztizált neurodivergens vagyok,Napi szinten,Igen,Főként a saját gondolkodásom tisztázására használom az AI-t,Nem,3. Átlagos szinten értem a saját működésem,Körülbelül ugyanaz maradt,Nem,"egy lehetséges kiegészítő terápia mellett, de nem helyettesítője annak",Egyik sem igaz,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,Nő,45 - 54,Nem,"Gyanítom, hogy neurodivergens lehetek, de nincs diagnózisom",Napi szinten,Igen,"A mesterséges intelligencia által írtakat csak javaslatoknak tekintem, nem kész válaszoknak",Valamennyire / nem kőbe vésve,5. Nagyon tudatos vagyok a belső működéseimmel,Nem volt rá hatással / nem tudok erre válaszolni,Nem,"gyengébb, mint a terápia",Egyik sem igaz,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
